state,district,month,monthly_enrolments,monthly_load,estimated_update_requests
Delhi,North East,2025-04,27,27,9
Delhi,North East,2025-05,42,42,15
Delhi,North East,2025-06,52,52,18
Delhi,North East,2025-07,18,18,6
Delhi,North East,2025-08,61,61,21
Delhi,North East,2025-09,60,60,21
Delhi,North East,2025-10,43,43,15
Delhi,North East,2025-11,39,39,14
Delhi,North East,2025-12,39,39,14
Delhi,North East Delhi,2025-01,6184,6184,2164
Delhi,North East Delhi,2025-02,283,283,99
Delhi,North East Delhi,2025-03,154,154,54
Delhi,North East Delhi,2025-04,98,98,34
Delhi,North East Delhi,2025-05,127,127,44
Delhi,North East Delhi,2025-06,188,188,66
Delhi,North East Delhi,2025-07,75,75,26
Delhi,North East Delhi,2025-08,203,203,71
Delhi,North East Delhi,2025-09,175,175,61
Delhi,North East Delhi,2025-10,208,208,73
Delhi,North East Delhi,2025-11,154,154,54
Delhi,North East Delhi,2025-12,141,141,49
Delhi,North West Delhi,2025-01,4145,4145,1451
Delhi,North West Delhi,2025-02,528,528,185
Delhi,North West Delhi,2025-03,235,235,82
Delhi,North West Delhi,2025-04,208,208,73
Delhi,North West Delhi,2025-05,222,222,78
Delhi,North West Delhi,2025-06,357,357,125
Delhi,North West Delhi,2025-07,159,159,56
Delhi,North West Delhi,2025-08,379,379,133
Delhi,North West Delhi,2025-09,327,327,114
Delhi,North West Delhi,2025-10,409,409,143
Delhi,North West Delhi,2025-11,322,322,113
Delhi,North West Delhi,2025-12,311,311,109
Delhi,Shahdara,2025-01,1263,1263,442
Delhi,Shahdara,2025-02,24,24,8
Delhi,Shahdara,2025-03,9,9,3
Delhi,Shahdara,2025-04,2,2,1
Delhi,Shahdara,2025-05,15,15,5
Delhi,Shahdara,2025-06,12,12,4
Delhi,Shahdara,2025-07,4,4,1
Delhi,Shahdara,2025-08,24,24,8
Delhi,Shahdara,2025-09,15,15,5
Delhi,Shahdara,2025-10,17,17,6
Delhi,Shahdara,2025-11,14,14,5
Delhi,Shahdara,2025-12,17,17,6
Delhi,South Delhi,2025-01,3290,3290,1152
Delhi,South Delhi,2025-02,422,422,148
Delhi,South Delhi,2025-03,193,193,68
Delhi,South Delhi,2025-04,153,153,54
Delhi,South Delhi,2025-05,227,227,79
Delhi,South Delhi,2025-06,261,261,91
Delhi,South Delhi,2025-07,164,164,57
Delhi,South Delhi,2025-08,330,330,115
Delhi,South Delhi,2025-09,298,298,104
Delhi,South Delhi,2025-10,333,333,117
Delhi,South Delhi,2025-11,244,244,85
Delhi,South Delhi,2025-12,244,244,85
Delhi,South East Delhi,2025-02,4,4,1
Delhi,South East Delhi,2025-03,2,2,1
Delhi,South East Delhi,2025-05,4,4,1
Delhi,South East Delhi,2025-06,2,2,1
Delhi,South East Delhi,2025-07,2,2,1
Delhi,South East Delhi,2025-08,1,1,0
Delhi,South East Delhi,2025-09,1,1,0
Delhi,South East Delhi,2025-10,1,1,0
Delhi,South East Delhi,2025-11,1,1,0
Delhi,South East Delhi,2025-12,5,5,2
Delhi,South West Delhi,2025-01,2687,2687,940
Delhi,South West Delhi,2025-02,264,264,92
Delhi,South West Delhi,2025-03,132,132,46
Delhi,South West Delhi,2025-04,99,99,35
Delhi,South West Delhi,2025-05,107,107,37
Delhi,South West Delhi,2025-06,201,201,70
Delhi,South West Delhi,2025-07,102,102,36
Delhi,South West Delhi,2025-08,228,228,80
Delhi,South West Delhi,2025-09,200,200,70
Delhi,South West Delhi,2025-10,216,216,76
Delhi,South West Delhi,2025-11,184,184,64
Delhi,South West Delhi,2025-12,221,221,77
Delhi,West Delhi,2025-01,11885,11885,4160
Delhi,West Delhi,2025-02,345,345,121
Delhi,West Delhi,2025-03,151,151,53
Delhi,West Delhi,2025-04,181,181,63
Delhi,West Delhi,2025-05,141,141,49
Delhi,West Delhi,2025-06,245,245,86
Delhi,West Delhi,2025-07,98,98,34
Delhi,West Delhi,2025-08,237,237,83
Delhi,West Delhi,2025-09,471,471,165
Delhi,West Delhi,2025-10,250,250,88
Delhi,West Delhi,2025-11,207,207,72
Delhi,West Delhi,2025-12,224,224,78
Goa,North Goa,2025-01,76,76,27
Goa,North Goa,2025-02,33,33,12
Goa,North Goa,2025-03,25,25,9
Goa,North Goa,2025-04,17,17,6
Goa,North Goa,2025-05,42,42,15
Goa,North Goa,2025-06,29,29,10
Goa,North Goa,2025-07,17,17,6
Goa,North Goa,2025-08,63,63,22
Goa,North Goa,2025-09,41,41,14
Goa,North Goa,2025-10,45,45,16
Goa,North Goa,2025-11,33,33,12
Goa,North Goa,2025-12,40,40,14
Goa,South Goa,2025-01,29,29,10
Goa,South Goa,2025-02,18,18,6
Goa,South Goa,2025-03,19,19,7
Goa,South Goa,2025-04,22,22,8
Goa,South Goa,2025-05,36,36,13
Goa,South Goa,2025-06,16,16,6
Goa,South Goa,2025-07,10,10,4
Goa,South Goa,2025-08,44,44,15
Goa,South Goa,2025-09,23,23,8
Goa,South Goa,2025-10,25,25,9
Goa,South Goa,2025-11,35,35,12
Goa,South Goa,2025-12,35,35,12
Gujarat,Ahmadabad,2025-01,5733,5733,2007
Gujarat,Ahmadabad,2025-02,35,35,12
Gujarat,Ahmadabad,2025-03,21,21,7
Gujarat,Ahmadabad,2025-04,18,18,6
Gujarat,Ahmadabad,2025-05,17,17,6
Gujarat,Ahmadabad,2025-06,23,23,8
Gujarat,Ahmadabad,2025-07,9,9,3
Gujarat,Ahmadabad,2025-08,49,49,17
Gujarat,Ahmadabad,2025-09,33,33,12
Gujarat,Ahmadabad,2025-10,33,33,12
Gujarat,Ahmadabad,2025-11,34,34,12
Gujarat,Ahmadabad,2025-12,37,37,13
Gujarat,Ahmedabad,2025-01,2558,2558,895
Gujarat,Ahmedabad,2025-02,720,720,252
Gujarat,Ahmedabad,2025-03,430,430,150
Gujarat,Ahmedabad,2025-04,292,292,102
Gujarat,Ahmedabad,2025-05,277,277,97
Gujarat,Ahmedabad,2025-06,362,362,127
Gujarat,Ahmedabad,2025-07,171,171,60
Gujarat,Ahmedabad,2025-08,660,660,231
Gujarat,Ahmedabad,2025-09,613,613,215
Gujarat,Ahmedabad,2025-10,568,568,199
Gujarat,Ahmedabad,2025-11,586,586,205
Gujarat,Ahmedabad,2025-12,583,583,204
Gujarat,Amreli,2025-01,1071,1071,375
Gujarat,Amreli,2025-02,116,116,41
Gujarat,Amreli,2025-03,90,90,31
Gujarat,Amreli,2025-04,54,54,19
Gujarat,Amreli,2025-05,22,22,8
Gujarat,Amreli,2025-06,66,66,23
Gujarat,Amreli,2025-07,35,35,12
Gujarat,Amreli,2025-08,97,97,34
Gujarat,Amreli,2025-09,111,111,39
Gujarat,Amreli,2025-10,109,109,38
Gujarat,Amreli,2025-11,100,100,35
Gujarat,Amreli,2025-12,105,105,37
Gujarat,Anand,2025-01,1838,1838,643
Gujarat,Anand,2025-02,178,178,62
Gujarat,Anand,2025-03,130,130,46
Gujarat,Anand,2025-04,49,49,17
Gujarat,Anand,2025-05,46,46,16
Gujarat,Anand,2025-06,71,71,25
Gujarat,Anand,2025-07,32,32,11
Gujarat,Anand,2025-08,165,165,58
Gujarat,Anand,2025-09,189,189,66
Gujarat,Anand,2025-10,161,161,56
Gujarat,Anand,2025-11,157,157,55
Gujarat,Anand,2025-12,171,171,60
Gujarat,Arvalli,2025-01,844,844,295
Gujarat,Arvalli,2025-02,55,55,19
Gujarat,Arvalli,2025-03,32,32,11
Gujarat,Arvalli,2025-04,23,23,8
Gujarat,Arvalli,2025-05,8,8,3
Gujarat,Arvalli,2025-06,9,9,3
Gujarat,Arvalli,2025-07,8,8,3
Gujarat,Arvalli,2025-08,65,65,23
Gujarat,Arvalli,2025-09,74,74,26
Gujarat,Arvalli,2025-10,42,42,15
Gujarat,Arvalli,2025-11,60,60,21
Gujarat,Arvalli,2025-12,55,55,19
Gujarat,Banas Kantha,2025-01,12522,12522,4383
Gujarat,Banas Kantha,2025-02,8,8,3
Gujarat,Banas Kantha,2025-03,4,4,1
Gujarat,Banas Kantha,2025-04,1,1,0
Gujarat,Banas Kantha,2025-06,1,1,0
Gujarat,Banas Kantha,2025-08,2,2,1
Gujarat,Banas Kantha,2025-09,7,7,2
Gujarat,Banas Kantha,2025-10,9,9,3
Gujarat,Banas Kantha,2025-11,1,1,0
Gujarat,Banas Kantha,2025-12,6,6,2
Gujarat,Banaskantha,2025-01,6472,6472,2265
Gujarat,Banaskantha,2025-02,484,484,169
Gujarat,Banaskantha,2025-03,265,265,93
Gujarat,Banaskantha,2025-04,241,241,84
Gujarat,Banaskantha,2025-05,58,58,20
Gujarat,Banaskantha,2025-06,160,160,56
Gujarat,Banaskantha,2025-07,77,77,27
Gujarat,Banaskantha,2025-08,166,166,58
Gujarat,Banaskantha,2025-09,276,276,97
Gujarat,Banaskantha,2025-10,279,279,98
Gujarat,Banaskantha,2025-11,356,356,125
Gujarat,Banaskantha,2025-12,369,369,129
Gujarat,Bharuch,2025-01,719,719,252
Gujarat,Bharuch,2025-02,142,142,50
Gujarat,Bharuch,2025-03,98,98,34
Gujarat,Bharuch,2025-04,36,36,13
Gujarat,Bharuch,2025-05,35,35,12
Gujarat,Bharuch,2025-06,36,36,13
Gujarat,Bharuch,2025-07,32,32,11
Gujarat,Bharuch,2025-08,140,140,49
Gujarat,Bharuch,2025-09,137,137,48
Gujarat,Bharuch,2025-10,122,122,43
Gujarat,Bharuch,2025-11,131,131,46
Gujarat,Bharuch,2025-12,146,146,51
Gujarat,Bhavnagar,2025-01,3200,3200,1120
Gujarat,Bhavnagar,2025-02,310,310,108
Gujarat,Bhavnagar,2025-03,171,171,60
Gujarat,Bhavnagar,2025-04,108,108,38
Gujarat,Bhavnagar,2025-05,88,88,31
Gujarat,Bhavnagar,2025-06,184,184,64
Gujarat,Bhavnagar,2025-07,75,75,26
Gujarat,Bhavnagar,2025-08,271,271,95
Gujarat,Bhavnagar,2025-09,298,298,104
Gujarat,Bhavnagar,2025-10,256,256,90
Gujarat,Bhavnagar,2025-11,272,272,95
Gujarat,Bhavnagar,2025-12,361,361,126
Gujarat,Botad,2025-01,1805,1805,632
Gujarat,Botad,2025-02,45,45,16
Gujarat,Botad,2025-03,42,42,15
Gujarat,Botad,2025-04,18,18,6
Gujarat,Botad,2025-05,12,12,4
Gujarat,Botad,2025-06,13,13,5
Gujarat,Botad,2025-07,8,8,3
Gujarat,Botad,2025-08,55,55,19
Gujarat,Botad,2025-09,55,55,19
Gujarat,Botad,2025-10,33,33,12
Gujarat,Botad,2025-11,31,31,11
Gujarat,Botad,2025-12,60,60,21
Gujarat,Chhotaudepur,2025-01,2718,2718,951
Gujarat,Chhotaudepur,2025-02,41,41,14
Gujarat,Chhotaudepur,2025-03,26,26,9
Gujarat,Chhotaudepur,2025-04,13,13,5
Gujarat,Chhotaudepur,2025-05,13,13,5
Gujarat,Chhotaudepur,2025-06,33,33,12
Gujarat,Chhotaudepur,2025-07,37,37,13
Gujarat,Chhotaudepur,2025-08,68,68,24
Gujarat,Chhotaudepur,2025-09,54,54,19
Gujarat,Chhotaudepur,2025-10,82,82,29
Gujarat,Chhotaudepur,2025-11,46,46,16
Gujarat,Chhotaudepur,2025-12,71,71,25
Gujarat,Dahod,2025-01,4381,4381,1533
Gujarat,Dahod,2025-02,331,331,116
Gujarat,Dahod,2025-03,186,186,65
Gujarat,Dahod,2025-04,30,30,10
Gujarat,Dahod,2025-05,73,73,26
Gujarat,Dahod,2025-06,110,110,38
Gujarat,Dahod,2025-07,51,51,18
Gujarat,Dahod,2025-08,293,293,103
Gujarat,Dahod,2025-09,254,254,89
Gujarat,Dahod,2025-10,234,234,82
Gujarat,Dahod,2025-11,232,232,81
Gujarat,Dahod,2025-12,274,274,96
Gujarat,Dang,2025-01,872,872,305
Gujarat,Devbhumi Dwarka,2025-01,1114,1114,390
Gujarat,Devbhumi Dwarka,2025-02,63,63,22
Gujarat,Devbhumi Dwarka,2025-03,30,30,10
Gujarat,Devbhumi Dwarka,2025-04,27,27,9
Gujarat,Devbhumi Dwarka,2025-05,13,13,5
Gujarat,Devbhumi Dwarka,2025-06,32,32,11
Gujarat,Devbhumi Dwarka,2025-07,12,12,4
Gujarat,Devbhumi Dwarka,2025-08,48,48,17
Gujarat,Devbhumi Dwarka,2025-09,48,48,17
Gujarat,Devbhumi Dwarka,2025-10,31,31,11
Gujarat,Devbhumi Dwarka,2025-11,43,43,15
Gujarat,Devbhumi Dwarka,2025-12,69,69,24
Gujarat,Dohad,2025-01,11239,11239,3934
Gujarat,Dohad,2025-02,97,97,34
Gujarat,Dohad,2025-03,48,48,17
Gujarat,Dohad,2025-04,9,9,3
Gujarat,Dohad,2025-05,28,28,10
Gujarat,Dohad,2025-06,33,33,12
Gujarat,Dohad,2025-07,21,21,7
Gujarat,Dohad,2025-08,70,70,24
Gujarat,Dohad,2025-09,69,69,24
Gujarat,Dohad,2025-10,47,47,16
Gujarat,Dohad,2025-11,61,61,21
Gujarat,Dohad,2025-12,73,73,26
Gujarat,Gandhinagar,2025-01,1999,1999,700
Gujarat,Gandhinagar,2025-02,134,134,47
Gujarat,Gandhinagar,2025-03,83,83,29
Gujarat,Gandhinagar,2025-04,64,64,22
Gujarat,Gandhinagar,2025-05,46,46,16
Gujarat,Gandhinagar,2025-06,64,64,22
Gujarat,Gandhinagar,2025-07,36,36,13
Gujarat,Gandhinagar,2025-08,234,234,82
Gujarat,Gandhinagar,2025-09,128,128,45
Gujarat,Gandhinagar,2025-10,119,119,42
Gujarat,Gandhinagar,2025-11,122,122,43
Gujarat,Gandhinagar,2025-12,118,118,41
Gujarat,Gir Somnath,2025-01,3361,3361,1176
Gujarat,Gir Somnath,2025-02,86,86,30
Gujarat,Gir Somnath,2025-03,61,61,21
Gujarat,Gir Somnath,2025-04,37,37,13
Gujarat,Gir Somnath,2025-05,23,23,8
Gujarat,Gir Somnath,2025-06,49,49,17
Gujarat,Gir Somnath,2025-07,17,17,6
Gujarat,Gir Somnath,2025-08,86,86,30
Gujarat,Gir Somnath,2025-09,109,109,38
Gujarat,Gir Somnath,2025-10,94,94,33
Gujarat,Gir Somnath,2025-11,78,78,27
Gujarat,Gir Somnath,2025-12,104,104,36
Gujarat,Jamnagar,2025-01,1964,1964,687
Gujarat,Jamnagar,2025-02,154,154,54
Gujarat,Jamnagar,2025-03,81,81,28
Gujarat,Jamnagar,2025-04,73,73,26
Gujarat,Jamnagar,2025-05,35,35,12
Gujarat,Jamnagar,2025-06,72,72,25
Gujarat,Jamnagar,2025-07,38,38,13
Gujarat,Jamnagar,2025-08,103,103,36
Gujarat,Jamnagar,2025-09,130,130,46
Gujarat,Jamnagar,2025-10,136,136,48
Gujarat,Jamnagar,2025-11,119,119,42
Gujarat,Jamnagar,2025-12,136,136,48
Gujarat,Junagadh,2025-01,412,412,144
Gujarat,Junagadh,2025-02,251,251,88
Gujarat,Junagadh,2025-03,133,133,47
Gujarat,Junagadh,2025-04,110,110,38
Gujarat,Junagadh,2025-05,45,45,16
Gujarat,Junagadh,2025-06,133,133,47
Gujarat,Junagadh,2025-07,43,43,15
Gujarat,Junagadh,2025-08,151,151,53
Gujarat,Junagadh,2025-09,211,211,74
Gujarat,Junagadh,2025-10,200,200,70
Gujarat,Junagadh,2025-11,176,176,62
Gujarat,Junagadh,2025-12,171,171,60
Gujarat,Kachchh,2025-01,3256,3256,1140
Gujarat,Kachchh,2025-02,197,197,69
Gujarat,Kachchh,2025-03,153,153,54
Gujarat,Kachchh,2025-04,87,87,30
Gujarat,Kachchh,2025-05,73,73,26
Gujarat,Kachchh,2025-06,119,119,42
Gujarat,Kachchh,2025-07,35,35,12
Gujarat,Kachchh,2025-08,130,130,46
Gujarat,Kachchh,2025-09,94,94,33
Gujarat,Kachchh,2025-10,145,145,51
Gujarat,Kachchh,2025-11,155,155,54
Gujarat,Kachchh,2025-12,186,186,65
Gujarat,Kheda,2025-01,1588,1588,556
Gujarat,Kheda,2025-02,234,234,82
Gujarat,Kheda,2025-03,168,168,59
Gujarat,Kheda,2025-04,63,63,22
Gujarat,Kheda,2025-05,59,59,21
Gujarat,Kheda,2025-06,84,84,29
Gujarat,Kheda,2025-07,48,48,17
Gujarat,Kheda,2025-08,162,162,57
Gujarat,Kheda,2025-09,222,222,78
Gujarat,Kheda,2025-10,251,251,88
Gujarat,Kheda,2025-11,250,250,88
Gujarat,Kheda,2025-12,211,211,74
Gujarat,Mahesana,2025-01,2011,2011,704
Gujarat,Mahesana,2025-02,171,171,60
Gujarat,Mahesana,2025-03,85,85,30
Gujarat,Mahesana,2025-04,69,69,24
Gujarat,Mahesana,2025-05,46,46,16
Gujarat,Mahesana,2025-06,67,67,23
Gujarat,Mahesana,2025-07,42,42,15
Gujarat,Mahesana,2025-08,132,132,46
Gujarat,Mahesana,2025-09,174,174,61
Gujarat,Mahesana,2025-10,162,162,57
Gujarat,Mahesana,2025-11,184,184,64
Gujarat,Mahesana,2025-12,187,187,65
Gujarat,Mahisagar,2025-01,892,892,312
Gujarat,Mahisagar,2025-02,91,91,32
Gujarat,Mahisagar,2025-03,34,34,12
Gujarat,Mahisagar,2025-04,9,9,3
Gujarat,Mahisagar,2025-05,11,11,4
Gujarat,Mahisagar,2025-06,24,24,8
Gujarat,Mahisagar,2025-07,16,16,6
Gujarat,Mahisagar,2025-08,70,70,24
Gujarat,Mahisagar,2025-09,59,59,21
Gujarat,Mahisagar,2025-10,55,55,19
Gujarat,Mahisagar,2025-11,56,56,20
Gujarat,Mahisagar,2025-12,58,58,20
Gujarat,Morbi,2025-01,5753,5753,2014
Gujarat,Morbi,2025-02,104,104,36
Gujarat,Morbi,2025-03,72,72,25
Gujarat,Morbi,2025-04,32,32,11
Gujarat,Morbi,2025-05,23,23,8
Gujarat,Morbi,2025-06,30,30,10
Gujarat,Morbi,2025-07,13,13,5
Gujarat,Morbi,2025-08,37,37,13
Gujarat,Morbi,2025-09,68,68,24
Gujarat,Morbi,2025-10,92,92,32
Gujarat,Morbi,2025-11,71,71,25
Gujarat,Morbi,2025-12,76,76,27
Gujarat,Narmada,2025-01,44,44,15
Gujarat,Narmada,2025-02,70,70,24
Gujarat,Narmada,2025-03,40,40,14
Gujarat,Narmada,2025-04,11,11,4
Gujarat,Narmada,2025-05,3,3,1
Gujarat,Narmada,2025-06,19,19,7
Gujarat,Narmada,2025-07,14,14,5
Gujarat,Narmada,2025-08,62,62,22
Gujarat,Narmada,2025-09,51,51,18
Gujarat,Narmada,2025-10,52,52,18
Gujarat,Narmada,2025-11,51,51,18
Gujarat,Narmada,2025-12,50,50,18
Gujarat,Navsari,2025-01,655,655,229
Gujarat,Navsari,2025-02,91,91,32
Gujarat,Navsari,2025-03,48,48,17
Gujarat,Navsari,2025-04,19,19,7
Gujarat,Navsari,2025-05,25,25,9
Gujarat,Navsari,2025-06,50,50,18
Gujarat,Navsari,2025-07,12,12,4
Gujarat,Navsari,2025-08,105,105,37
Gujarat,Navsari,2025-09,91,91,32
Gujarat,Navsari,2025-10,66,66,23
Gujarat,Navsari,2025-11,69,69,24
Gujarat,Navsari,2025-12,79,79,28
Gujarat,Panch Mahals,2025-01,1324,1324,463
Gujarat,Panch Mahals,2025-02,4,4,1
Gujarat,Panch Mahals,2025-03,3,3,1
Gujarat,Panch Mahals,2025-04,1,1,0
Gujarat,Panch Mahals,2025-05,1,1,0
Gujarat,Panch Mahals,2025-06,4,4,1
Gujarat,Panch Mahals,2025-07,1,1,0
Gujarat,Panch Mahals,2025-08,4,4,1
Gujarat,Panch Mahals,2025-09,1,1,0
Gujarat,Panch Mahals,2025-10,1,1,0
Gujarat,Panch Mahals,2025-12,3,3,1
Gujarat,Panchmahals,2025-01,1460,1460,511
Gujarat,Panchmahals,2025-02,189,189,66
Gujarat,Panchmahals,2025-03,133,133,47
Gujarat,Panchmahals,2025-04,26,26,9
Gujarat,Panchmahals,2025-05,42,42,15
Gujarat,Panchmahals,2025-06,64,64,22
Gujarat,Panchmahals,2025-07,60,60,21
Gujarat,Panchmahals,2025-08,214,214,75
Gujarat,Panchmahals,2025-09,187,187,65
Gujarat,Panchmahals,2025-10,178,178,62
Gujarat,Panchmahals,2025-11,193,193,68
Gujarat,Panchmahals,2025-12,205,205,72
Gujarat,Patan,2025-01,5075,5075,1776
Gujarat,Patan,2025-02,184,184,64
Gujarat,Patan,2025-03,118,118,41
Gujarat,Patan,2025-04,82,82,29
Gujarat,Patan,2025-05,45,45,16
Gujarat,Patan,2025-06,109,109,38
Gujarat,Patan,2025-07,28,28,10
Gujarat,Patan,2025-08,62,62,22
Gujarat,Patan,2025-09,136,136,48
Gujarat,Patan,2025-10,139,139,49
Gujarat,Patan,2025-11,132,132,46
Gujarat,Patan,2025-12,202,202,71
Gujarat,Porbandar,2025-01,1260,1260,441
Gujarat,Porbandar,2025-02,62,62,22
Gujarat,Porbandar,2025-03,37,37,13
Gujarat,Porbandar,2025-04,28,28,10
Gujarat,Porbandar,2025-05,9,9,3
Gujarat,Porbandar,2025-06,20,20,7
Gujarat,Porbandar,2025-07,8,8,3
Gujarat,Porbandar,2025-08,41,41,14
Gujarat,Porbandar,2025-09,61,61,21
Gujarat,Porbandar,2025-10,28,28,10
Gujarat,Porbandar,2025-11,30,30,10
Gujarat,Porbandar,2025-12,55,55,19
Gujarat,Rajkot,2025-01,8601,8601,3010
Gujarat,Rajkot,2025-02,342,342,120
Gujarat,Rajkot,2025-03,236,236,83
Gujarat,Rajkot,2025-04,148,148,52
Gujarat,Rajkot,2025-05,128,128,45
Gujarat,Rajkot,2025-06,111,111,39
Gujarat,Rajkot,2025-07,107,107,37
Gujarat,Rajkot,2025-08,248,248,87
Gujarat,Rajkot,2025-09,294,294,103
Gujarat,Rajkot,2025-10,271,271,95
Gujarat,Rajkot,2025-11,251,251,88
Gujarat,Rajkot,2025-12,301,301,105
Gujarat,Sabar Kantha,2025-01,2280,2280,798
Gujarat,Sabar Kantha,2025-02,6,6,2
Gujarat,Sabar Kantha,2025-03,2,2,1
Gujarat,Sabar Kantha,2025-04,1,1,0
Gujarat,Sabar Kantha,2025-05,2,2,1
Gujarat,Sabar Kantha,2025-06,4,4,1
Gujarat,Sabar Kantha,2025-08,7,7,2
Gujarat,Sabar Kantha,2025-09,5,5,2
Gujarat,Sabar Kantha,2025-10,5,5,2
Gujarat,Sabar Kantha,2025-11,9,9,3
Gujarat,Sabar Kantha,2025-12,5,5,2
Gujarat,Sabarkantha,2025-01,971,971,340
Gujarat,Sabarkantha,2025-02,198,198,69
Gujarat,Sabarkantha,2025-03,138,138,48
Gujarat,Sabarkantha,2025-04,74,74,26
Gujarat,Sabarkantha,2025-05,41,41,14
Gujarat,Sabarkantha,2025-06,37,37,13
Gujarat,Sabarkantha,2025-07,40,40,14
Gujarat,Sabarkantha,2025-08,126,126,44
Gujarat,Sabarkantha,2025-09,149,149,52
Gujarat,Sabarkantha,2025-10,178,178,62
Gujarat,Sabarkantha,2025-11,132,132,46
Gujarat,Sabarkantha,2025-12,152,152,53
Gujarat,Surat,2025-01,10859,10859,3801
Gujarat,Surat,2025-02,643,643,225
Gujarat,Surat,2025-03,409,409,143
Gujarat,Surat,2025-04,256,256,90
Gujarat,Surat,2025-05,282,282,99
Gujarat,Surat,2025-06,191,191,67
Gujarat,Surat,2025-07,178,178,62
Gujarat,Surat,2025-08,467,467,163
Gujarat,Surat,2025-09,527,527,184
Gujarat,Surat,2025-10,638,638,223
Gujarat,Surat,2025-11,485,485,170
Gujarat,Surat,2025-12,531,531,186
Gujarat,Surendra Nagar,2025-01,1258,1258,440
Gujarat,Surendra Nagar,2025-02,230,230,80
Gujarat,Surendra Nagar,2025-03,152,152,53
Gujarat,Surendra Nagar,2025-04,86,86,30
Gujarat,Surendra Nagar,2025-05,54,54,19
Gujarat,Surendra Nagar,2025-06,133,133,47
Gujarat,Surendra Nagar,2025-07,54,54,19
Gujarat,Surendra Nagar,2025-08,124,124,43
Gujarat,Surendra Nagar,2025-09,196,196,69
Gujarat,Surendra Nagar,2025-10,205,205,72
Gujarat,Surendra Nagar,2025-11,208,208,73
Gujarat,Surendra Nagar,2025-12,223,223,78
Gujarat,Surendranagar,2025-01,1312,1312,459
Gujarat,Surendranagar,2025-02,11,11,4
Gujarat,Surendranagar,2025-03,2,2,1
Gujarat,Surendranagar,2025-04,2,2,1
Gujarat,Surendranagar,2025-06,6,6,2
Gujarat,Surendranagar,2025-08,3,3,1
Gujarat,Surendranagar,2025-09,5,5,2
Gujarat,Surendranagar,2025-10,9,9,3
Gujarat,Surendranagar,2025-11,3,3,1
Gujarat,Surendranagar,2025-12,2,2,1
Gujarat,Tapi,2025-01,134,134,47
Gujarat,Tapi,2025-02,98,98,34
Gujarat,Tapi,2025-03,54,54,19
Gujarat,Tapi,2025-04,29,29,10
Gujarat,Tapi,2025-05,18,18,6
Gujarat,Tapi,2025-06,14,14,5
Gujarat,Tapi,2025-07,49,49,17
Gujarat,Tapi,2025-08,71,71,25
Gujarat,Tapi,2025-09,105,105,37
Gujarat,Tapi,2025-10,119,119,42
Gujarat,Tapi,2025-11,126,126,44
Gujarat,Tapi,2025-12,90,90,31
Gujarat,The Dangs,2025-01,414,414,145
Gujarat,The Dangs,2025-02,56,56,20
Gujarat,The Dangs,2025-03,30,30,10
Gujarat,The Dangs,2025-04,21,21,7
Gujarat,The Dangs,2025-05,8,8,3
Gujarat,The Dangs,2025-06,14,14,5
Gujarat,The Dangs,2025-07,3,3,1
Gujarat,The Dangs,2025-08,33,33,12
Gujarat,The Dangs,2025-09,55,55,19
Gujarat,The Dangs,2025-10,39,39,14
Gujarat,The Dangs,2025-11,38,38,13
Gujarat,The Dangs,2025-12,36,36,13
Gujarat,Vadodara,2025-01,2898,2898,1014
Gujarat,Vadodara,2025-02,338,338,118
Gujarat,Vadodara,2025-03,236,236,83
Gujarat,Vadodara,2025-04,115,115,40
Gujarat,Vadodara,2025-05,122,122,43
Gujarat,Vadodara,2025-06,133,133,47
Gujarat,Vadodara,2025-07,90,90,31
Gujarat,Vadodara,2025-08,282,282,99
Gujarat,Vadodara,2025-09,326,326,114
Gujarat,Vadodara,2025-10,333,333,117
Gujarat,Vadodara,2025-11,298,298,104
Gujarat,Vadodara,2025-12,297,297,104
Gujarat,Valsad,2025-01,2246,2246,786
Gujarat,Valsad,2025-02,233,233,82
Gujarat,Valsad,2025-03,118,118,41
Gujarat,Valsad,2025-04,38,38,13
Gujarat,Valsad,2025-05,54,54,19
Gujarat,Valsad,2025-06,65,65,23
Gujarat,Valsad,2025-07,41,41,14
Gujarat,Valsad,2025-08,149,149,52
Gujarat,Valsad,2025-09,239,239,84
Gujarat,Valsad,2025-10,168,168,59
Gujarat,Valsad,2025-11,212,212,74
Gujarat,Valsad,2025-12,212,212,74
Haryana,Ambala,2025-01,313,313,110
Haryana,Ambala,2025-02,91,91,32
Haryana,Ambala,2025-03,35,35,12
Haryana,Ambala,2025-04,13,13,5
Haryana,Ambala,2025-05,74,74,26
Haryana,Ambala,2025-06,52,52,18
Haryana,Ambala,2025-07,35,35,12
Haryana,Ambala,2025-08,95,95,33
Haryana,Ambala,2025-09,98,98,34
Haryana,Ambala,2025-10,93,93,33
Haryana,Ambala,2025-11,80,80,28
Haryana,Ambala,2025-12,76,76,27
Haryana,Bhiwani,2025-01,67,67,23
Haryana,Bhiwani,2025-02,91,91,32
Haryana,Bhiwani,2025-03,81,81,28
Haryana,Bhiwani,2025-04,39,39,14
Haryana,Bhiwani,2025-05,112,112,39
Haryana,Bhiwani,2025-06,69,69,24
Haryana,Bhiwani,2025-07,46,46,16
Haryana,Bhiwani,2025-08,133,133,47
Haryana,Bhiwani,2025-09,89,89,31
Haryana,Bhiwani,2025-10,98,98,34
Haryana,Bhiwani,2025-11,94,94,33
